name,address,hours,about,policies,instagram,facebook,x,tiktok,threads,website,phone,podcast
American Solera (Tulsa),"1702 E. 6th St., Tulsa, OK 74104","Mon-Thurs: 4:00pm – 9:00pm
Fri-Sat: 12:00pm – 10:00pm
Sun: 12:00pm – 6:00pm",,"☑️ Dogs Allowed on Patio
☑️ Restaurant on Site
☑️ Non-Alcoholic Options
☑️ Wine Available
☑️ Kids Allowed
☑️ WiFi Available",https://www.instagram.com/americansolera,https://www.facebook.com/americansolera,,,,https://www.americansolera.com/,918-949-4318,
American Solera (Edmond),"129 W. 2nd St., Edmond, OK 73003","Mon-Thurs: 4:00pm – 9:00pm
Fri-Sat: 12:00pm – 10:00pm
Sun: 12:00pm – 6:00pm",,"☑️ Dogs Allowed on Patio
☑️ Outside Food Allowed
☑️ Snacks Available
☑️ Non-Alcoholic Options
☑️ Wine Available
☑️ Kids Allowed
☑️ WiFi Available",https://www.instagram.com/amsoedmond/,https://www.facebook.com/americansolera,,,,https://www.americansolera.com/,405-920-6210,
Angry Scotsman Brewing,"704 W. Reno Ave., OKC, OK 73102","Tues-Thurs: 3:00pm – 10:00pm
Fri-Sat: 12:00pm – 11:00pm
Sun: 12:00pm – 9:00pm",,"☑️ Dogs Allowed
☑️ Outside Food Allowed
☑️ Non-Alcoholic Options
☑️ Wine Available
☑️ Kids Allowed
☑️ WiFi Available - Password: angryscotbrew",https://www.instagram.com/angryscotbrew/,https://www.facebook.com/angryscotbrew,https://twitter.com/angryscotbrew,,,http://angryscotbrew.com/,405-673-7713,https://open.spotify.com/episode/0IT6M72s4PgMGLOxqKx5xk?si=122157da442c41b0
Anthem Brewing,"908 SW 4th St., OKC, OK 73109","Tues-Thurs: 2:00pm – 9:00pm
Fri: 2:00pm – 10:00pm
Sat: 12:00pm – 10:00pm
Sun: 12:00pm – 6:00pm",,"☑️ Dogs Allowed
☑️ Outside Food Allowed
☑️ Snacks Available
☑️ Non-Alcoholic Options
☑️ Wine Available
☑️ Kids Allowed
☑️ WiFi Password: buyabeer",https://www.instagram.com/anthembrewing/,https://www.facebook.com/AnthemBrewing,https://twitter.com/AnthemBrewing,,,https://www.anthembrewing.com/,405-604-0446,https://open.spotify.com/episode/2RgS68YrdlbmSq2kXW6f1U
Battered Boar Brewing,"217 S. Santa Fe Ave., Edmond, OK 73003","Thurs: 4:00pm – 9:00pm
Fri: 4:00pm – 10:00pm
Sat: 11:00am –10:00pm
Sun: 12:00pm – 5:00pm",,"☑️ Dogs Allowed
☑️ Outside Food Allowed
☑️ 21+ Only",https://www.instagram.com/batteredboarbrewingco/,https://www.facebook.com/BatteredBoar,https://twitter.com/Batteredboar,,,http://batteredboar.com/verify.php?redirect=http://batteredboar.com/,405-254-5000,
Beavers Bend Brewery,"46 Coho Rd., Broken Bow, OK 74728","Mon-Thurs: 12:00pm – 8:00pm
Fri-Sat: 12:00pm – 9:00pm
Sun: 11:00am – 7:00pm",,,https://www.instagram.com/beaversbendbrewery/,https://www.facebook.com/beaversbendbrewery,https://twitter.com/beaversbendbrew,,,https://www.beaversbendbrewery.com/,580-494-3455,
Beer Is Good Brewing,"216 E. Main St., Norman, OK 73069","Mon-Wed: 4:00pm – 10:00pm
Thurs: 4:00pm – 11:00pm
Fri-Sat: 11:00am –12:00am
Sun: 10:00am – 10:00pm",,"☑️ Outside Food Allowed
☑️ Non-Alcoholic Options
☑️ Kids Allowed",https://www.instagram.com/bigbrewco/,https://www.facebook.com/BIGbrewco,https://twitter.com/BIGBrewCo,,,https://bigbrew.co/,405-857-7080,https://open.spotify.com/episode/16DfQgLyiBp4iSrXA0aT5C?si=24b765015e5245e1
Belle Isle Brewing,"1900 NW Expressway, OKC, OK 73118",Mon-Sat: 11:00am – 10:00pm,,"☑️ Non-Alcoholic Options
☑️ Wine Available
☑️ Kids Allowed",https://www.instagram.com/belleislebrew/,https://www.facebook.com/BelleIsleBrewery,https://twitter.com/BelleIsleBrew,,,https://www.belleislerestaurant.com/,405-840-191,
Bierkraft,"925 E. Washington Ave., McAlester, OK 74501","Wed-Fri: 4:00pm – 9:00pm
Sat: 1:00pm – 9:00pm
Sun: 1:00pm – 6:00pm",,"☑️ Dogs Allowed
☑️ Outside Food Allowed
☑️ Non-Alcoholic Options
☑️ Wine Available
☑️ Kids Allowed
☑️ WiFi Password: mcalester",https://www.instagram.com/bierkraft_brewery/,https://www.facebook.com/bierkraft.brewery/,,,,https://www.bierkraft.us/,918-715-3452,
Broke Brewing,"3810 N. Tulsa Ave., OKC, OK 73112","Tues-Thurs: 3:00pm – 11:00pm
Fri-Sat: 1:00pm – 12:00am
Sun: 3:00pm – Sunset",,"☑️ Dogs Allowed
☑️ Outside Food Allowed
☑️ Non-Alcoholic Options
☑️ Wine Available
☑️ Kids Allowed",https://www.instagram.com/brokebeer/,https://www.facebook.com/brokebeer/,https://twitter.com/brokebeer,,,https://broke.beer/,405-237-8115,https://open.spotify.com/episode/5IheQ1RKijqiA35yQQkZSd?si=15b87534fd40434c
Broken Arrow Brewing,"333 W. Dallas St., Broken Arrow, OK, 74012","Tues-Thurs: 4:00pm – 10:00pm
Fri-Sat: 12:00pm – 12:00am
Sun: 12:00pm – 10:00pm",,,https://www.instagram.com/brokenarrowbrewingco/,https://www.facebook.com/babrewingco,https://twitter.com/babrewingco,,,https://www.brokenarrowbrewingco.com/,918-286-8101,
Cabin Boys (Claremore),"512 W Will Rogers Blvd, Claremore, OK 74017","Tues-Thurs: 4:00pm – 10:00pm
Fri-Sat: 12:00pm – 11:00pm",,"☑️ Dogs Allowed
☑️ Outside Food Allowed
☑️ Snacks Available
☑️ Non-Alcoholic Options
☑️ Wine Available
☑️ Kids Allowed (Not at bar)",https://www.instagram.com/cabinboysbreweryclaremore/,https://www.facebook.com/profile.php?id=100084483062743,,,,https://www.cabinboysbrewery.com/,918-923-7071,
