🔒 Row ID,Episode #,Visible,Episode,Date,Guest,Brewery,Brewery Short,Description,Listen Link,Photo
nqBkh2puRTGHuqZUoi126Q,Episode #1,true,1,"February 2, 2023",Matt Conner,Frenzy Brewing Company,Frenzy Brewing,"The Beer Hop guys chat with Matt Conner from Frenzy Brewing about the origins of his brewery, summer memories, ""chick"" beers, and more + drink some tasty Frenzy beers.",https://open.spotify.com/episode/1MkMognQTDaTAHN3Ennmho?si=0b0509fbbf664bb2,https://drive.google.com/file/d/1Mmy0hQ_QQ04--dc7hiitl3Nnco6rifNb/view?usp=drive_link
KY4uOYYrS7CD8MXGNM5cIw,Episode #4,true,4,"March 16, 2023",Tim King,OK Cider Co.,OK Cider Co.,"The Beer Hop guys chat with Tim King from OK Cider Co. about the origin of his cidery, Tim's Cider Adventures™️, the coolest bottles in OK, and more + drink some tasty ciders!",https://open.spotify.com/episode/6PSHwOSBXkwVCfV4gciMk8,https://drive.google.com/file/d/1ukLp3tuInLTm0FQvTXQKfR5vQ_OwVG-x/view?usp=drive_link
6NVKkIN3TGeZNb95ZmsfKA,Episode #5,true,5,"March 30, 2023",Mo Perez,Anthem Brewing,Anthem Brewing,"The Beer Hop guys chat with Mo Perez from Anthem Brewing about the being a head brewer and artist, The Last of Us, and more + drink some tasty beers (including their Paloma)!",https://open.spotify.com/episode/2RgS68YrdlbmSq2kXW6f1U,https://drive.google.com/file/d/1dBqii8hTypXxt4AbSDfDhpuIlfpywiSn/view?usp=drive_link
r9UH2B-vTWuTgSHfHSoPdA,Episode #7,true,7,"April 27, 2023",Stephen Swanson,Lazy Circles Brewing,Lazy Circles,"The Beer Hop guys chat with Stephen Swanson from Lazy Circles Brewing about Norman's beer scene, Cannonball Sunday, Scrappy - the 56 pound terrier, and more + drink some tasty stouts!",https://open.spotify.com/episode/4uECJu7Pfv46qaAnvYCvUV?si=0f2269e999494e65,https://drive.google.com/file/d/1VmeLkehz1da5fRL8i0icPbcjvs7FJUDs/view?usp=drive_link
OyTx2prLRXGO9xJHKoVckA,Episode #12,true,12,"July 6, 2023",AmandaBear,Pint Princess,Pint Princess,"The Beer Hop guys chat with ⁠Amanda about her love of Japan, her stupid neighbors, Norman breweries, Jelf Zelbst, and more + drink a mustard hotdog beer (yes, you read that right) and some other delicious local brews!",https://open.spotify.com/episode/7gZNeYuLZMlXzC3xA1ecjZ?si=cde94295852d4d09,https://drive.google.com/file/d/1jXAqNtn_ZVkLghjsmgGDmL1OIsm2i-YA/view?usp=drive_link
kan1ZjyORf-Z9H8tETS3hw,Episode #13,true,13,"July 20, 2023",Evan Smith,Vanessa House Beer Co.,Vanessa House,"The Beer Hop guys chat with Evan Smith from Vanessa House Beer Co. about the origin story of the brewery and their core beers, Evan’s award-winning moviemaking background, their GG’s seltzers and more + drink a delicious smoothie sour and their new IPA!",https://open.spotify.com/episode/1jDskeAzQffjLaTNivuBfQ?si=901a7a38f05d4f48,https://drive.google.com/file/d/1fomrNXEptaG0G2RUQmcR2tGp8SSKOXux/view?usp=drive_link
JIKVrkxNR52CboSnqPF9bg,Episode #16,true,16,"August 31, 2023",Matt Gerstner,The Joinery & Community Through Beer,The Joinery,"The Beer Hop guys chat with Matt Gerstner from The Joinery and Community Through Beer about their monthly beer dinners, his New Orleans memories, and go down lots of random rabbit holes + drink some delicious local beers.",https://open.spotify.com/episode/1XtLzudGrmI7S6RhlO4qON?si=3d5cbcd8cf764f3a,https://drive.google.com/file/d/1I_RxqbCKoPqkP9kLID6ZcDSQbnUeRpN_/view?usp=drive_link
Moe6S0DTSSeCZVlCwUKVig,Episode #17,true,17,"September 14, 2023",Justin Wilson,Beer Is Good Brewing,BIG Brewing,"The Beer Hop guys chat with Justin Wilson, aka ""The Monocle,"" from BIG Brewing about the Norman beer community, the origin of their brewery, their love of Red Earth Brewers, and more + drink some beer-flavored beer, a hazy IPA and a delicious 16% stout.",https://open.spotify.com/episode/16DfQgLyiBp4iSrXA0aT5C?si=24b765015e5245e1,https://drive.google.com/file/d/17jZPRkoMXzdWJUoZiy2xmnHxON_ZyvCD/view?usp=drive_link
8o2Jn7ZgSCiJXS4tO9LVqw,Episode #18,true,18,"September 28, 2023",Nick Hodge,Red Earth Brewers,Red Earth Brewers,"The Beer Hop guys chat with Nick Hodge from Red Earth Brewers about the club, his brewing origin story, scoring beers, mouth feel and more + drink some tasty home brews.",https://open.spotify.com/episode/3wK1aUdd2ou8elqQzFddOQ?si=66d4c7bfdd0649af,https://drive.google.com/file/d/1eZQGm0_vbj19IHNgh996hCxKqSIwRRp4/view?usp=drive_link
jPguQDwpQ4CZ4ZowI-.qEA,Episode #19,true,19,"October 12, 2023",Tori & Ryan,BeerCat Brett,BeerCatBrett,"The Beer Hop guys chat with the Beer Cats about gaming, photographing beers, their favorite local beers + drink some tasty brews!.",https://open.spotify.com/episode/1dUgRl1RogNrZ8DPGDl2kN?si=4fa941bdd358466f,https://drive.google.com/file/d/10yvT2cM4LhpJ6ETHyKp_qslp1V2j4l4E/view?usp=drive_link
