Day,Brewery,Event,Title,Details,Time,Logo,Event Photo,Instagram,Twitter,Facebook,Address
Monday,FRENZY BREWING,HAPPY HOUR,Frenzy's Happy Hour,$5 pints until 6pm.,Open-6pm,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://drive.google.com/file/d/1_ICiiDqXjqMLrtSGIylN8aeZsd_byxIy/view?usp=share_link,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Monday,FRENZY BREWING,SINGO,Frenzy's SINGO,"SINGO is a spin on traditional Bingo. Instead of listening for a number, players are listening for their favorite music.

There will be prizes and plenty of Frenzy beer on tap! Fun for the whole family!",7:00-9:00pm,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/JuEXpeIr16XBzCda0S62.jpeg,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Monday,ROUGHTAIL BREWING,HAPPY HOUR,Roughtail's Monday Happy Hour,25% off large pours of core beers,3:00-9:00pm,https://drive.google.com/file/d/1sDUiahV3uJRGgO74shMklTUbS7t2qrAe/view?usp=share_link,https://drive.google.com/file/d/13_FsWgZ1V3yf25z2bH9OR5JGHnhfqRbx/view?usp=share_link,https://www.instagram.com/roughtailbrewingco/,https://twitter.com/Roughtailbeer,https://www.facebook.com/roughtailbeer/,"320 W. Memorial Rd., OKC, OK 73114"
Monday,SKYDANCE BREWING,HAPPY HOUR,Skydance's Happy Hour,$5 pints on year-round beers,3:00-6:00pm,https://drive.google.com/file/d/1AjHQIYpgplZSva_UvcrG5GE2gzlbhyKH/view?usp=share_link,https://drive.google.com/file/d/1H4_DUT2nj6l6QuGdSFv-T8ugJtwq-mjJ/view?usp=share_link,https://www.instagram.com/skydancebrewing/,https://twitter.com/SkydanceBrewing,https://www.facebook.com/SkydanceBrewing,"1 NE 7th Street, Suite A, OKC, OK 73104"
Tuesday,BEER IS GOOD BREWING,LIVE MUSIC,BIG's Tuesday Live Music,Live music tonight! Come listen to local musicians and drink some beer! Music starts at 7:30pm.,7:30-9:30pm,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://drive.google.com/file/d/1DW1C0ZI93-lGw3Qll3yW139ixc3revp4/view?usp=sharing,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Tuesday,FRENZY BREWING,ADULT SPELL CHECK,Frenzy's Adult Spell Check,Gather your team of 1-6 players. There will be 4 rounds with 10 spelling words each round. Teams have 20 seconds to spell each word. The words will increase in difficulty each round.,7:00pm Every Other Tuesday,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://drive.google.com/file/d/1Y2NLcScPAls7agOY1Zk8jwwVaCjkyM-h/view?usp=share_link,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Tuesday,FRENZY BREWING,HAPPY HOUR,Frenzy's Happy Hour,$5 pints until 6:00pm.,Open-6pm,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://drive.google.com/file/d/1_ICiiDqXjqMLrtSGIylN8aeZsd_byxIy/view?usp=share_link,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Tuesday,LIVELY BEERWORKS,TRIVIA NIGHT,Lively's Trivia Night,"PERHAPS THE WORLD'S GREATEST TRIVIA NIGHT.

Come answer very difficult questions while sipping beers and eating delicious dishes from a food truck. The fun starts at 7:00 - come early to snag your table! Check our social media for food truck info.",7:00pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://drive.google.com/file/d/1LwDhpLaH4lcMmOi-ZFtUW85NzCWlyO4F/view?usp=share_link,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Tuesday,SKYDANCE BREWING,HAPPY HOUR,Skydance's Happy Hour,$5 pints on year-round beers.,3:00-6:00pm,https://drive.google.com/file/d/1AjHQIYpgplZSva_UvcrG5GE2gzlbhyKH/view?usp=share_link,https://drive.google.com/file/d/1H4_DUT2nj6l6QuGdSFv-T8ugJtwq-mjJ/view?usp=share_link,https://www.instagram.com/skydancebrewing/,https://twitter.com/SkydanceBrewing,https://www.facebook.com/SkydanceBrewing,"1 NE 7th Street, Suite A, OKC, OK 73104"
Wednesday,BEER IS GOOD BREWING,VINYL NIGHT,BIG's Vinyl Night,Come hangout with us in the taproom and listen to some music on vinyl!,7:00pm,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://drive.google.com/file/d/1b4gSG5Ik-ha75EX5CNSFJ9DPjvoCCifo/view?usp=sharing,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
